ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.002314,0.131027,0.131047,9.995880
-0.001266,0.138426,0.138432,9.968301
-0.004271,0.141316,0.141380,9.944146
-0.009560,0.148916,0.149223,9.959599
-0.014619,0.150890,0.151596,9.934347
-0.010154,0.150697,0.151039,9.955502
-0.012341,0.148403,0.148915,9.972373
-0.008372,0.153491,0.153719,9.984000
-0.012475,0.148911,0.149432,9.978973
-0.015544,0.144460,0.145294,10.035667
-0.015625,0.137601,0.138485,10.070718
-0.013153,0.131354,0.132011,10.088030
-0.008432,0.123545,0.123832,10.107759
-0.002818,0.120052,0.120085,10.097157
-0.005250,0.114420,0.114541,10.068843
-0.003701,0.114133,0.114193,10.082808
-0.004938,0.115139,0.115245,10.068962
-0.001706,0.120956,0.120968,10.059350
-0.002091,0.121837,0.121855,10.037227
0.000459,0.126283,0.126283,10.039181
-0.003848,0.129221,0.129278,10.016536
-0.004261,0.127613,0.127684,10.034676
-0.005455,0.130169,0.130283,10.037200
-0.003407,0.130943,0.130988,10.031969
0.000555,0.129626,0.129627,10.032622
0.001550,0.136779,0.136788,9.990478
-0.001187,0.138913,0.138918,9.964005
-0.007135,0.146178,0.146352,9.961854
-0.011325,0.149742,0.150170,9.959212
-0.013450,0.152981,0.153571,9.928735
-0.009575,0.158939,0.159227,9.954990
-0.009871,0.156823,0.157133,9.983734
-0.011338,0.150840,0.151266,9.977709
-0.013923,0.147676,0.148331,9.999311
-0.016176,0.146015,0.146908,10.026761
-0.014654,0.140200,0.140963,10.067619
-0.008533,0.129397,0.129678,10.093469
-0.006561,0.126711,0.126881,10.107369
-0.005344,0.120865,0.120983,10.105354
-0.006605,0.114836,0.115025,10.089589
-0.004436,0.114314,0.114400,10.097245
-0.004501,0.117026,0.117112,10.072236
-0.000996,0.117798,0.117802,10.088940
0.001444,0.124140,0.124148,10.037701
-0.000581,0.126477,0.126479,10.022046
-0.003812,0.130060,0.130116,10.019285
-0.003745,0.135134,0.135186,10.028971
-0.006674,0.133566,0.133733,10.034888
-0.003824,0.130249,0.130305,10.050892
0.000880,0.132355,0.132358,10.039121
-0.002380,0.129261,0.129283,10.010779
-0.005580,0.134231,0.134347,9.981617
-0.009778,0.138000,0.138346,9.978153
-0.011315,0.147043,0.147478,9.949749
-0.009794,0.151565,0.151881,9.958272
-0.008546,0.155917,0.156151,9.962317
-0.011261,0.153615,0.154027,9.974544
-0.011746,0.150844,0.151300,9.997892
-0.015493,0.146324,0.147142,10.000966
-0.015582,0.145643,0.146475,10.006151
-0.011646,0.141639,0.142117,10.066009
-0.007531,0.134332,0.134543,10.097029
-0.006211,0.124212,0.124367,10.104593
-0.004180,0.118033,0.118107,10.103430
-0.002769,0.113704,0.113738,10.109580
-0.004075,0.114884,0.114956,10.075940
-0.001966,0.116251,0.116268,10.070682
0.000853,0.117518,0.117521,10.066526
-0.000479,0.121634,0.121635,10.043105
-0.002981,0.124802,0.124838,10.010396
-0.003903,0.133182,0.133239,10.043609
-0.007085,0.136165,0.136349,10.013661
-0.004985,0.135111,0.135203,10.033774
-0.002441,0.132408,0.132431,10.052354
0.000804,0.129509,0.129511,10.048787
-0.000904,0.127949,0.127952,10.011887
-0.004646,0.132747,0.132828,10.002144
-0.007355,0.140115,0.140308,9.966796
-0.004194,0.149771,0.149830,9.962667
-0.008981,0.149112,0.149382,9.958331
-0.005430,0.152801,0.152897,9.959935
-0.011871,0.152587,0.153048,9.962437
-0.017655,0.154154,0.155161,10.013971
-0.019543,0.150604,0.151867,9.997113
-0.016105,0.147656,0.148532,10.007802
-0.013698,0.139561,0.140232,10.062124
-0.007630,0.133496,0.133714,10.094782
-0.010884,0.127201,0.127666,10.093081
-0.007325,0.118116,0.118343,10.128072
-0.007330,0.116611,0.116841,10.094420
-0.005958,0.116064,0.116217,10.075175
-0.002705,0.117215,0.117246,10.082591
0.000804,0.119353,0.119356,10.074597
-0.001574,0.118503,0.118514,10.044480
0.000746,0.121383,0.121386,10.042480
-0.004096,0.126682,0.126748,10.037153
-0.007987,0.125337,0.125592,10.014034
-0.002056,0.126402,0.126419,10.035803
-0.001530,0.131482,0.131490,10.051837
-0.003175,0.135324,0.135361,10.009374
-0.005247,0.134920,0.135022,10.015842
-0.004743,0.139325,0.139406,9.988294
-0.009661,0.141902,0.142230,9.958332
