ud_pu,uq_pu,u_mag_pu,delta_theta_deg
-0.060203,0.210513,0.218953,18.086349
-0.066427,0.214325,0.224383,18.040127
-0.061629,0.213578,0.222292,18.073200
-0.054597,0.213111,0.219994,18.081472
-0.056508,0.211434,0.218855,18.091778
-0.053253,0.217051,0.223488,18.025248
-0.063804,0.228980,0.237703,17.973480
-0.076475,0.228682,0.241131,17.939659
-0.080383,0.231444,0.245006,17.962643
-0.080030,0.235273,0.248512,17.964457
-0.070262,0.214178,0.225409,18.061146
-0.067771,0.210010,0.220674,18.071758
-0.060470,0.213132,0.221545,18.063877
-0.060998,0.212284,0.220874,18.075916
-0.064137,0.213669,0.223088,18.076551
-0.060744,0.212804,0.221304,18.084347
-0.049803,0.203669,0.209670,18.135674
-0.046879,0.212138,0.217256,18.087811
-0.056274,0.225518,0.232433,17.994871
-0.064866,0.224710,0.233885,17.962393
-0.081771,0.231182,0.245218,17.951077
-0.080175,0.240275,0.253299,17.938848
-0.078310,0.231105,0.244012,18.068384
-0.080679,0.227935,0.241792,18.071281
