raw21,omega_pll_rad_s,iq_ref_a,dbg_iq_a
928810.000000,100.928276,0.225888,0.340695
910671.000000,105.479149,0.225888,0.015009
893572.000000,105.010941,0.163827,0.208820
878070.000000,99.582840,0.163827,0.276292
862389.000000,96.395088,0.238199,0.219844
845843.000000,96.969955,0.238199,0.198331
830152.000000,94.727837,0.253334,0.243044
816062.000000,88.581421,0.253334,0.109481
800433.000000,89.612076,0.345502,0.324749
784632.000000,90.964386,0.345502,0.484940
770919.000000,85.781059,0.322408,0.266305
755995.000000,86.471115,0.322408,0.376015
739653.000000,91.371391,0.347686,0.475967
724323.000000,91.815063,0.347686,0.291100
709374.000000,90.909904,0.307392,0.229292
692914.000000,95.033844,0.307392,0.372875
675393.000000,100.869774,0.260354,0.315893
659281.000000,100.170265,0.260354,0.421184
642844.000000,100.648033,0.227724,0.200032
624365.000000,106.813103,0.227724,0.157111
607579.000000,105.294250,0.152839,0.354033
591353.000000,102.372910,0.152839,0.167548
573441.000000,105.290840,0.197616,0.224314
555816.000000,106.138870,0.197616,0.143950
