dbg_id_a,dbg_iq_a,omega_diff_rad_s,omega_pll_rad_s
-0.187192,0.360359,94.375610,97.379219
0.174907,0.111025,83.231926,91.760605
0.233260,-0.011235,98.390579,88.671623
-0.055518,0.291573,95.033646,91.331299
0.010352,0.335433,81.791878,88.374771
0.161288,0.321039,89.344978,85.310837
-0.052687,0.403447,96.774101,89.559860
0.026160,0.304263,90.003014,91.634689
-0.132965,0.203407,88.801384,91.378799
-0.133021,0.410098,101.208687,93.020958
-0.009618,0.396311,109.896660,99.751671
0.092649,0.136099,98.211769,101.813614
-0.104120,0.277950,98.690987,100.083473
0.084332,0.300035,112.531189,105.342964
0.129210,0.306579,100.905899,107.365646
-0.333231,0.039737,97.312927,103.132431
-0.189573,0.136375,108.337402,104.350281
-0.025263,0.154554,104.262833,106.468605
-0.032407,0.222741,102.405548,104.869644
0.075632,0.216517,100.967888,101.955406
0.043641,0.047859,107.438568,103.033760
-0.073720,0.141629,100.667480,103.849518
0.089446,0.567842,98.991394,100.412231
-0.000827,0.093339,108.218193,101.083435
0.034009,0.304547,107.557777,105.623543
0.062684,0.152242,94.616417,102.601013
-0.033650,0.094188,106.301308,100.961716
0.079213,0.135094,107.557777,106.190910
0.173557,0.046344,94.854836,106.538597
-0.037917,0.111528,92.337135,99.962570
-0.000238,0.253411,98.690987,97.260063
0.025396,0.040174,98.869804,98.128777
-0.188175,0.020243,85.088020,93.572151
-0.119464,0.287856,92.757942,89.226059
-0.060061,0.409962,103.064781,93.351967
0.164998,0.237392,90.780258,94.504425
-0.061450,0.262358,94.496017,92.371391
0.134608,0.308462,108.578209,97.464211
0.077363,0.203597,105.161667,103.051003
-0.040878,0.229925,100.727081,104.946304
0.038768,0.276166,109.536652,107.039467
0.038114,0.137395,116.666557,113.613045
0.084435,0.201570,108.996635,115.928551
0.111188,0.038901,105.041862,111.935913
-0.041841,0.118582,118.164421,112.554161
-0.073967,0.067324,106.420219,113.746346
0.082370,-0.084209,96.472801,106.872284
-0.065216,0.111925,107.138756,103.799126
0.030385,0.168649,101.865829,103.975471
0.224232,0.302300,94.076172,99.943077
