raw21,omega_pll,Iq_ref,dbg_iq_a
1759976.000000,300.303680,0.127516,0.103957
1709153.000000,301.018951,0.127516,0.116037
1657637.000000,299.563141,0.247275,0.128768
1606382.000000,298.678009,0.247275,0.160615
1555755.000000,297.308868,0.513834,0.219885
1505337.000000,297.929993,0.513834,0.487001
1453753.000000,297.650635,0.466839,0.431962
1403819.000000,298.093384,0.466839,0.430766
1355414.000000,298.341125,0.416788,0.404767
1307536.000000,299.323120,0.416788,0.413688
1257484.000000,298.959442,0.378057,0.280603
1204321.000000,299.420319,0.378057,0.348821
1149996.000000,299.592285,0.305704,0.348863
1098367.000000,300.022125,0.305704,0.505556
1049272.000000,299.622681,0.271632,0.187486
999973.000000,300.848053,0.271632,0.226309
949752.000000,299.827850,0.270567,0.208981
898062.000000,299.978577,0.270567,0.416787
849896.000000,299.869720,0.280105,0.255071
804130.000000,300.291962,0.280105,0.397156
759266.000000,299.825470,0.230582,0.292375
712438.000000,300.787994,0.230582,0.207137
662648.000000,301.149292,0.121222,0.072450
611340.000000,300.901917,0.121222,0.098118
560544.000000,298.630219,0.305482,0.143867
510278.000000,298.383881,0.305482,0.295226
460076.000000,296.878876,0.532148,0.406946
408968.000000,297.299316,0.532148,0.407409
358040.000000,296.550598,0.602110,0.439413
310368.000000,297.485077,0.602110,0.620935
263104.000000,298.061676,0.484429,0.531299
213432.000000,299.407593,0.484429,0.562421
159599.000000,299.940796,0.310747,0.491637
104730.000000,300.208862,0.310747,0.355465
51961.000000,300.032745,0.227975,-0.067226
2301.000000,300.086945,0.227975,0.300730
2049974.000000,300.044250,0.252692,0.167329
1998651.000000,301.447510,0.252692,0.317676
1946866.000000,301.649170,0.094988,0.329379
1898284.000000,301.636780,0.094988,0.119678
1852044.000000,300.574890,0.133007,0.126646
1806751.000000,300.577576,0.133007,0.169419
1759152.000000,300.019104,0.191483,0.143909
1708253.000000,301.012390,0.191483,0.261571
1656731.000000,299.412079,0.239979,0.258107
1605276.000000,299.088257,0.239979,0.318712
1554770.000000,297.124603,0.521822,0.273725
1504375.000000,297.678955,0.521822,0.469713
1452838.000000,297.406555,0.493051,0.485621
1403162.000000,297.454346,0.493051,0.660180
1354829.000000,297.773590,0.477931,0.366186
1306930.000000,298.981842,0.477931,0.440127
1256574.000000,299.358734,0.362410,0.370971
1203279.000000,299.947540,0.362410,0.356608
1149007.000000,299.736328,0.283613,0.358001
1097613.000000,299.894897,0.283613,0.265814
1048549.000000,299.518280,0.265211,0.393716
999196.000000,300.964691,0.265211,0.251208
948604.000000,300.783142,0.166737,0.183426
896691.000000,301.343781,0.166737,0.227867
848741.000000,299.913910,0.234965,0.169368
803015.000000,300.264984,0.234965,-0.003807
758246.000000,299.375183,0.239392,0.142063
711594.000000,299.921478,0.239392,0.192082
662147.000000,299.239899,0.292169,0.190531
610979.000000,299.188721,0.292169,0.295857
560126.000000,297.637146,0.443836,0.300317
510079.000000,297.294220,0.443836,0.246198
459741.000000,296.674561,0.603823,0.491566
408649.000000,297.375641,0.603823,0.534540
357635.000000,297.079285,0.560080,0.658392
309891.000000,298.270996,0.560080,0.671815
262499.000000,298.890839,0.390970,0.502240
212710.000000,300.041107,0.390970,0.265790
158727.000000,300.390411,0.245913,0.465051
103871.000000,300.480133,0.245913,0.273604
51139.000000,300.238647,0.248709,0.384549
1549.000000,300.232666,0.248709,0.115650
2049236.000000,299.932373,0.242178,0.239740
1997977.000000,300.995605,0.242178,0.174747
1946292.000000,300.901825,0.166131,0.134851
1897661.000000,301.417480,0.166131,0.140155
1851325.000000,300.774780,0.120015,-0.148575
1806039.000000,300.853180,0.120015,0.144743
1758270.000000,300.672241,0.115667,0.132314
1707424.000000,301.256104,0.115667,0.201574
